Title,Skills,Experience,Education
Продуктовый аналитик,,От 3 до 6 лет,Not specified
Коммерческий директор / CCO / Директор по развитию бизнеса,"Стратегический менеджмент, Коммерческая политика, Управление ассортиментом, Рост выручки",Более 6 лет,Not specified
Аналитик данных,"PostgreSQL, Python, Алгоритмы и структуры данных, Power BI, Clickhouse",От 3 до 6 лет,Not specified
Системный администратор,"Linux, Windows, Docker, PostgreSQL, Greenplum, ORACLE, Bash",От 3 до 6 лет,Not specified
Delivery Manager,"DWH, Big Data, Data Analysis",От 3 до 6 лет,Not specified
Crypto Product Analyst/Data Analyst,"Экономическое обоснование, Python, SQL, Power BI, Crypto, Cryptocorrency, Big Data, Wallet, Payments, Data Analysis, Analytical skills, Market Research, Research And Development",От 3 до 6 лет,Not specified
Продуктовый дизайнер,,От 1 года до 3 лет,Not specified
Аналитик данных (портал gosuslugi.ru),,От 1 года до 3 лет,Not specified
Дата аналитик/Data analyst,,От 1 года до 3 лет,Not specified
"Аналитик данных, Реклама","Python, SQL, PySpark, airflow, A/B тесты, Hadoop, Clickhouse, IT, Разработка поисковых технологий",От 3 до 6 лет,Not specified
Исследователь-психометрист (Лаборатория нейронаук и поведения человека),,От 3 до 6 лет,Not specified
Менеджер по сопровождению (IT),"Работа в команде, Грамотная устная речь, Работа с возражениями, Работа с CRM, Работа с клиентами, Пользователь ПК, Обучение, Клиентоориентированность",От 1 года до 3 лет,Not specified
Менеджер мобильного маркетинга (МТС AdTech),"Мобильный маркетинг, AppsFlyer, Appmetrica, VK Ads, Анализ трафика",От 1 года до 3 лет,Not specified
UX/UI-дизайнер (middle),"Figma, UX, UI, Веб-дизайн, Графический дизайн, Адаптивный дизайн, Прототипирование",От 3 до 6 лет,Not specified
"Data Scientist, Anti-Fraud, Ozon Bank",,От 1 года до 3 лет,Not specified
Influence / Инфлюенс-менеджер,,От 1 года до 3 лет,Not specified
